Period;January 1, 2016 12:00 AM -> May 11, 2023 9:00 AM;

;Time;Weather icon;Average Temperature (°C);Rainfall (mm);Afficheur Pont de FilAfficheur Pont de Fil;
;2016-06-13 00:00:00;Cloudy;15.5;2.4;;
;2016-06-14 00:00:00;Partly cloudy;14.5;1;;
;2016-06-15 00:00:00;Mist;11;0;;
;2016-06-16 00:00:00;Partly cloudy;16;0.7;;
;2016-06-17 00:00:00;Partly cloudy;14.5;1.2;;
;2016-06-18 00:00:00;Partly cloudy;13.5;0;;
;2016-06-19 00:00:00;Partly cloudy;14;0;;
;2016-06-20 00:00:00;Overcast;15;2.5;;
;2016-06-21 00:00:00;Overcast;18;2.4;;
;2016-06-22 00:00:00;Sunny;22.5;0;;
;2016-06-23 00:00:00;Sunny;23.5;1.3;;
;2016-06-24 00:00:00;Partly cloudy;19;0.3;;
;2016-06-25 00:00:00;Sunny;16;0.1;;
;2016-06-26 00:00:00;Partly cloudy;14.5;0.2;;
;2016-06-27 00:00:00;Overcast;15;0;;
;2016-06-28 00:00:00;Light rain shower;17;0.7;;
;2016-06-29 00:00:00;Overcast;17;0;;
;2016-06-30 00:00:00;Overcast;17.5;0;;
;2016-07-01 00:00:00;Cloudy;17.5;0;;
;2016-07-02 00:00:00;Cloudy;15;0.1;;
;2016-07-03 00:00:00;Overcast;14;0.2;;
;2016-07-04 00:00:00;Overcast;17.5;0.1;;
;2016-07-05 00:00:00;Cloudy;17;0;;
;2016-07-06 00:00:00;Sunny;16.5;0;;
;2016-07-07 00:00:00;Sunny;19;0;;
;2016-07-08 00:00:00;Sunny;20;0;;
;2016-07-09 00:00:00;Sunny;20;0;;
;2016-07-10 00:00:00;Sunny;20;0;;
;2016-07-11 00:00:00;Cloudy;17;0.6;;
;2016-07-12 00:00:00;Sunny;14.5;0.4;;
;2016-07-13 00:00:00;Sunny;14.5;0.1;;
;2016-07-14 00:00:00;Sunny;13.5;0.3;;
;2016-07-15 00:00:00;Sunny;15.5;0;;
;2016-07-16 00:00:00;Sunny;19;0;;
;2016-07-17 00:00:00;Sunny;22.5;0;;
;2016-07-18 00:00:00;Partly cloudy;19.5;0.5;;
;2016-07-19 00:00:00;Cloudy;19.5;1.9;;
;2016-07-20 00:00:00;Partly cloudy;18.5;1.7;;
;2016-07-21 00:00:00;Partly cloudy;19;0.3;;
;2016-07-22 00:00:00;Patchy rain possible;19.5;0.6;;
;2016-07-23 00:00:00;Patchy rain possible;19;1.4;;
;2016-07-24 00:00:00;Partly cloudy;19.5;0.9;;
;2016-07-25 00:00:00;Partly cloudy;19.5;1.3;;
;2016-07-26 00:00:00;Partly cloudy;20.5;1.1;;
;2016-07-27 00:00:00;Patchy rain possible;20;1.4;;
;2016-07-28 00:00:00;Cloudy;19.5;0.2;;
;2016-07-29 00:00:00;Cloudy;18.5;0.3;;
;2016-07-30 00:00:00;Partly cloudy;17.5;0;;
;2016-07-31 00:00:00;Partly cloudy;19;0;;
;2016-08-01 00:00:00;Sunny;19;0;;
;2016-08-02 00:00:00;Cloudy;19.5;0;;
;2016-08-03 00:00:00;Partly cloudy;20;0;;
;2016-08-04 00:00:00;Overcast;17;5.7;;
;2016-08-05 00:00:00;Sunny;17;0;;
;2016-08-06 00:00:00;Sunny;17.5;0;;
;2016-08-07 00:00:00;Sunny;21;0;;
;2016-08-08 00:00:00;Cloudy;18.5;0;;
;2016-08-09 00:00:00;Sunny;16;0;;
;2016-08-10 00:00:00;Sunny;14;0;;
;2016-08-11 00:00:00;Sunny;15.5;0;;
;2016-08-12 00:00:00;Sunny;18;0;;
;2016-08-13 00:00:00;Sunny;21;0;;
;2016-08-14 00:00:00;Sunny;22.5;0;;
;2016-08-15 00:00:00;Sunny;23.5;0;;
;2016-08-16 00:00:00;Sunny;24;0;;
;2016-08-17 00:00:00;Sunny;24;0.8;;
;2016-08-18 00:00:00;Partly cloudy;19;0;;
;2016-08-19 00:00:00;Cloudy;18.5;0.1;;
;2016-08-20 00:00:00;Sunny;18;0;;
;2016-08-21 00:00:00;Sunny;18;0;;
;2016-08-22 00:00:00;Sunny;19.5;0;;
;2016-08-23 00:00:00;Sunny;26;0;;
;2016-08-24 00:00:00;Sunny;27.5;0;;
;2016-08-25 00:00:00;Sunny;27.5;0;;
;2016-08-26 00:00:00;Sunny;26.5;0;;
;2016-08-27 00:00:00;Sunny;26.5;0;;
;2016-08-28 00:00:00;Partly cloudy;21;0.1;;
;2016-08-29 00:00:00;Partly cloudy;19;0.3;;
;2016-08-30 00:00:00;Partly cloudy;20;0;;
;2016-08-31 00:00:00;Partly cloudy;23;0;;
;2016-09-01 00:00:00;Sunny;22;0;;
;2016-09-02 00:00:00;Sunny;22.5;0;;
;2016-09-03 00:00:00;Sunny;21.5;0;;
;2016-09-04 00:00:00;Cloudy;22;0.4;;
;2016-09-05 00:00:00;Overcast;20.5;0.2;;
;2016-09-06 00:00:00;Sunny;22.5;0;;
;2016-09-07 00:00:00;Sunny;23;0;;
;2016-09-08 00:00:00;Sunny;20;0;;
;2016-09-09 00:00:00;Sunny;18;0;;
;2016-09-10 00:00:00;Sunny;18;0;;
;2016-09-11 00:00:00;Overcast;21;0.2;;
;2016-09-12 00:00:00;Sunny;24;0;;
;2016-09-13 00:00:00;Sunny;25.5;4.3;;
;2016-09-14 00:00:00;Overcast;19;3.9;;
;2016-09-15 00:00:00;Mist;17;2.2;;
;2016-09-16 00:00:00;Overcast;15;6.5;;
;2016-09-17 00:00:00;Partly cloudy;14.5;0.5;;
;2016-09-18 00:00:00;Overcast;16.5;1.5;;
;2016-09-19 00:00:00;Partly cloudy;16;0;;
;2016-09-20 00:00:00;Partly cloudy;17;0.1;;
;2016-09-21 00:00:00;Partly cloudy;17;0.2;;
;2016-09-22 00:00:00;Sunny;17.5;0;;
;2016-09-23 00:00:00;Sunny;17.5;0;;
;2016-09-24 00:00:00;Sunny;19;0;;
;2016-09-25 00:00:00;Sunny;16.5;1.6;;
;2016-09-26 00:00:00;Sunny;15.5;0;;
;2016-09-27 00:00:00;Cloudy;15.5;0;;
;2016-09-28 00:00:00;Cloudy;17;0;;
;2016-09-29 00:00:00;Sunny;19;0;;
;2016-09-30 00:00:00;Partly cloudy;14;7.6;;
;2016-10-01 00:00:00;Sunny;14;0;;
;2016-10-02 00:00:00;Sunny;12.5;0;;
;2016-10-03 00:00:00;Sunny;13;0;;
;2016-10-04 00:00:00;Overcast;14;0;;
;2016-10-05 00:00:00;Sunny;14.5;0;;
;2016-10-06 00:00:00;Sunny;10.5;0;;
;2016-10-07 00:00:00;Partly cloudy;10.5;0;;
;2016-10-08 00:00:00;Partly cloudy;12;0.2;;
;2016-10-09 00:00:00;Partly cloudy;11.5;0;;
;2016-10-10 00:00:00;Sunny;10;0;;
;2016-10-11 00:00:00;Sunny;9.5;0;;
;2016-10-12 00:00:00;Partly cloudy;9.5;0;;
;2016-10-13 00:00:00;Overcast;9.5;1.2;;
;2016-10-14 00:00:00;Overcast;10.5;0.2;;
;2016-10-15 00:00:00;Partly cloudy;13;0.5;;
;2016-10-16 00:00:00;Partly cloudy;15;1.2;;
;2016-10-17 00:00:00;Sunny;14;0.4;;
;2016-10-18 00:00:00;Sunny;10.5;0;;
;2016-10-19 00:00:00;Cloudy;10;0.1;;
;2016-10-20 00:00:00;Partly cloudy;10.5;0;;
;2016-10-21 00:00:00;Partly cloudy;10;0;;
;2016-10-22 00:00:00;Sunny;10;0;;
;2016-10-23 00:00:00;Cloudy;10.5;0.3;;
;2016-10-24 00:00:00;Mist;13;2.6;;
;2016-10-25 00:00:00;Sunny;13;0;;
;2016-10-26 00:00:00;Sunny;12.5;0;;
;2016-10-27 00:00:00;Sunny;11;0;;
;2016-10-28 00:00:00;Sunny;10.5;0;;
;2016-10-29 00:00:00;Sunny;10.5;0;;
;2016-10-30 00:00:00;Sunny;12;0;;
;2016-10-31 00:00:00;Sunny;12.5;0;;
;2016-11-01 00:00:00;Partly cloudy;11;0;;
;2016-11-02 00:00:00;Overcast;10.5;0;;
;2016-11-03 00:00:00;Sunny;7;0;;
;2016-11-04 00:00:00;Partly cloudy;7.5;1.7;;
;2016-11-05 00:00:00;Partly cloudy;8;5.1;;
;2016-11-06 00:00:00;Sunny;5;0;;
