Period;January 1, 2016 12:00 AM -> May 11, 2023 9:00 AM;

;Time;Weather icon;Average Temperature (°C);Rainfall (mm);Afficheur Pont de FilAfficheur Pont de Fil;
;2018-09-04 00:00:00;Cloudy;19;0;;
;2018-09-05 00:00:00;Partly cloudy;19.5;0.3;;
;2018-09-06 00:00:00;Overcast;18;0.5;;
;2018-09-07 00:00:00;Sunny;16.5;0.1;;
;2018-09-08 00:00:00;Sunny;18.5;0;;
;2018-09-09 00:00:00;Partly cloudy;22;0;;
;2018-09-10 00:00:00;Sunny;19.5;0;;
;2018-09-11 00:00:00;Sunny;21;0;;
;2018-09-12 00:00:00;Sunny;21.5;0;;
;2018-09-13 00:00:00;Cloudy;17.5;0;;
;2018-09-14 00:00:00;Sunny;16;0;;
;2018-09-15 00:00:00;Sunny;16;0;;
;2018-09-16 00:00:00;Sunny;18.5;0;;
;2018-09-17 00:00:00;Sunny;22;0;;
;2018-09-18 00:00:00;Partly cloudy;21;0.1;;
;2018-09-19 00:00:00;Sunny;20;0;;
;2018-09-20 00:00:00;Sunny;20;0;;
;2018-09-21 00:00:00;Sunny;15;1.2;;
;2018-09-22 00:00:00;Partly cloudy;15;0.1;;
;2018-09-23 00:00:00;Overcast;15;1.1;;
;2018-09-24 00:00:00;Sunny;12.5;0;;
;2018-09-25 00:00:00;Sunny;13;0;;
;2018-09-26 00:00:00;Sunny;16;0;;
;2018-09-27 00:00:00;Sunny;19.5;0;;
;2018-09-28 00:00:00;Sunny;18.5;0;;
;2018-09-29 00:00:00;Sunny;14.5;0;;
;2018-09-30 00:00:00;Sunny;12.5;0;;
;2018-10-01 00:00:00;Sunny;12.5;0.1;;
;2018-10-02 00:00:00;Overcast;11.5;0;;
;2018-10-03 00:00:00;Cloudy;16;0.1;;
;2018-10-04 00:00:00;Sunny;16.5;0;;
;2018-10-05 00:00:00;Sunny;19;0;;
;2018-10-06 00:00:00;Sunny;16.5;0.3;;
;2018-10-07 00:00:00;Overcast;13.5;1.2;;
;2018-10-08 00:00:00;Sunny;14;0;;
;2018-10-09 00:00:00;Sunny;17;0;;
;2018-10-10 00:00:00;Sunny;18;3.4;;
;2018-10-11 00:00:00;Sunny;18;1.1;;
;2018-10-12 00:00:00;Sunny;19.5;0;;
;2018-10-13 00:00:00;Sunny;21.5;0.7;;
;2018-10-14 00:00:00;Sunny;21.5;2.3;;
;2018-10-15 00:00:00;Overcast;16;0.6;;
;2018-10-16 00:00:00;Sunny;15.5;0;;
;2018-10-17 00:00:00;Partly cloudy;15.5;0;;
;2018-10-18 00:00:00;Sunny;17.5;0;;
;2018-10-19 00:00:00;Sunny;15;0;;
;2018-10-20 00:00:00;Sunny;14.5;0;;
;2018-10-21 00:00:00;Sunny;14;0;;
;2018-10-22 00:00:00;Sunny;13.5;0;;
;2018-10-23 00:00:00;Sunny;11.5;0;;
;2018-10-24 00:00:00;Sunny;14.5;0;;
;2018-10-25 00:00:00;Sunny;13.5;0;;
;2018-10-26 00:00:00;Cloudy;9.5;0;;
;2018-10-27 00:00:00;Sunny;6.5;0.3;;
;2018-10-28 00:00:00;Overcast;5;6.4;;
;2018-10-29 00:00:00;Overcast;4;2.8;;
;2018-10-30 00:00:00;Sunny;8;0.1;;
;2018-10-31 00:00:00;Overcast;8;4.8;;
;2018-11-01 00:00:00;Partly cloudy;10.5;3.4;;
;2018-11-02 00:00:00;Sunny;9;0;;
;2018-11-03 00:00:00;Sunny;7;0;;
;2018-11-04 00:00:00;Partly cloudy;10;0;;
;2018-11-05 00:00:00;Partly cloudy;13;1.2;;
;2018-11-06 00:00:00;Overcast;12;0.4;;
;2018-11-07 00:00:00;Overcast;11.5;3.8;;
;2018-11-08 00:00:00;Sunny;9;0;;
;2018-11-09 00:00:00;Sunny;11.5;0.9;;
;2018-11-10 00:00:00;Overcast;13.5;0.9;;
;2018-11-11 00:00:00;Overcast;12.5;6.7;;
;2018-11-12 00:00:00;Partly cloudy;11;7.7;;
;2018-11-13 00:00:00;Sunny;11.5;0;;
;2018-11-14 00:00:00;Sunny;12;0;;
;2018-11-15 00:00:00;Sunny;13.5;0;;
;2018-11-16 00:00:00;Sunny;11.5;0;;
;2018-11-17 00:00:00;Sunny;6.5;0;;
;2018-11-18 00:00:00;Sunny;5.5;0;;
;2018-11-19 00:00:00;Sunny;3;0;;
;2018-11-20 00:00:00;Overcast;1.5;0.2;;
;2018-11-21 00:00:00;Sunny;2.5;0;;
;2018-11-22 00:00:00;Thundery outbreaks possible;5;3;;
;2018-11-23 00:00:00;Partly cloudy;7.5;1.3;;
;2018-11-24 00:00:00;Partly cloudy;8.5;0.8;;
;2018-11-25 00:00:00;Overcast;7;11.2;;
;2018-11-26 00:00:00;Overcast;6;0;;
;2018-11-27 00:00:00;Overcast;7.5;4;;
;2018-11-28 00:00:00;Cloudy;11;2.2;;
;2018-11-29 00:00:00;Overcast;11;0.2;;
;2018-11-30 00:00:00;Sunny;10;0.1;;
;2018-12-01 00:00:00;Light rain;10.5;9.2;;
;2018-12-02 00:00:00;Thundery outbreaks possible;14.5;6;;
;2018-12-03 00:00:00;Overcast;13.5;1.1;;
;2018-12-04 00:00:00;Overcast;11;0;;
;2018-12-05 00:00:00;Partly cloudy;11;0.4;;
;2018-12-06 00:00:00;Overcast;12;0.3;;
;2018-12-07 00:00:00;Overcast;10;3.4;;
;2018-12-08 00:00:00;Overcast;10;0;;
;2018-12-09 00:00:00;Partly cloudy;9.5;0.2;;
;2018-12-10 00:00:00;Sunny;7.5;0;;
;2018-12-11 00:00:00;Sunny;6.5;0;;
;2018-12-12 00:00:00;Partly cloudy;3;0.3;;
;2018-12-13 00:00:00;Partly cloudy;1;0.1;;
;2018-12-14 00:00:00;Sunny;0.5;0;;
;2018-12-15 00:00:00;Cloudy;4.5;8.7;;
;2018-12-16 00:00:00;Partly cloudy;8;1.1;;
;2018-12-17 00:00:00;Sunny;8;0;;
;2018-12-18 00:00:00;Partly cloudy;7.5;4;;
;2018-12-19 00:00:00;Overcast;9;1.3;;
;2018-12-20 00:00:00;Sunny;9.5;0.5;;
;2018-12-21 00:00:00;Overcast;13.5;25.1;;
;2018-12-22 00:00:00;Partly cloudy;11.5;0.2;;
;2018-12-23 00:00:00;Overcast;11.5;0.3;;
;2018-12-24 00:00:00;Cloudy;10.5;0.1;;
;2018-12-25 00:00:00;Sunny;5;0;;
;2018-12-26 00:00:00;Sunny;3.5;0;;
;2018-12-27 00:00:00;Sunny;3.5;0;;
;2018-12-28 00:00:00;Sunny;3;0;;
;2018-12-29 00:00:00;Sunny;2.5;0;;
;2018-12-30 00:00:00;Fog;5;0;;
;2018-12-31 00:00:00;Cloudy;7.5;0.1;;
;2019-01-01 00:00:00;Patchy rain possible;7;0.3;;
;2019-01-02 00:00:00;Partly cloudy;4.5;0.3;;
;2019-01-03 00:00:00;Partly cloudy;3;0;;
;2019-01-04 00:00:00;Overcast;2;0;;
;2019-01-05 00:00:00;Overcast;2;0;;
;2019-01-06 00:00:00;Patchy rain possible;2.5;0.5;;
;2019-01-07 00:00:00;Patchy rain possible;5;0.6;;
;2019-01-08 00:00:00;Light rain shower;6.5;0.7;;
;2019-01-09 00:00:00;Patchy rain possible;5;0.3;;
;2019-01-10 00:00:00;Cloudy;3;0;;
;2019-01-11 00:00:00;Light drizzle;4.5;0.4;;
;2019-01-12 00:00:00;Mist;4.5;0.2;;
;2019-01-13 00:00:00;Light drizzle;8;0.7;;
;2019-01-14 00:00:00;Patchy rain possible;9;0.5;;
;2019-01-15 00:00:00;Partly cloudy;6.5;0;;
;2019-01-16 00:00:00;Overcast;5;0.2;;
;2019-01-17 00:00:00;Patchy rain possible;5.5;1.7;;
;2019-01-18 00:00:00;Partly cloudy;2.5;0;;
;2019-01-19 00:00:00;Light drizzle;6;2.2;;
;2019-01-20 00:00:00;Patchy rain possible;4.5;0.3;;
;2019-01-21 00:00:00;Partly cloudy;1.5;0.1;;
;2019-01-22 00:00:00;Moderate rain;4;9.8;;
;2019-01-23 00:00:00;Light sleet showers;3.5;3.6;;
;2019-01-24 00:00:00;Cloudy;2;1.2;;
;2019-01-25 00:00:00;Patchy rain possible;5;2;;
;2019-01-26 00:00:00;Light rain shower;6.5;0.5;;
;2019-01-27 00:00:00;Light rain shower;6;8.9;;
;2019-01-28 00:00:00;Light drizzle;5;3;;
;2019-01-29 00:00:00;Heavy rain;4.5;20.4;;
;2019-01-30 00:00:00;Patchy light rain;4;6.3;;
;2019-01-31 00:00:00;Light rain;3;5;;
;2019-02-01 00:00:00;Light rain shower;6;5.2;;
;2019-02-02 00:00:00;Light rain shower;3.5;5.2;;
;2019-02-03 00:00:00;Partly cloudy;3.5;0;;
;2019-02-04 00:00:00;Moderate rain;1;21.5;;
;2019-02-05 00:00:00;Overcast;4;2.7;;
;2019-02-06 00:00:00;Light rain;9;4.3;;
;2019-02-07 00:00:00;Light rain;7.5;2.6;;
;2019-02-08 00:00:00;Light rain shower;8.5;0.5;;
;2019-02-09 00:00:00;Patchy rain possible;9.5;3.1;;
;2019-02-10 00:00:00;Moderate rain;8.5;18.9;;
;2019-02-11 00:00:00;Patchy rain possible;7;0.4;;
;2019-02-12 00:00:00;Partly cloudy;6;0;;
;2019-02-13 00:00:00;Partly cloudy;5.5;0;;
;2019-02-14 00:00:00;Partly cloudy;7.5;0;;
;2019-02-15 00:00:00;Partly cloudy;9.5;0;;
;2019-02-16 00:00:00;Partly cloudy;10;0;;
;2019-02-17 00:00:00;Partly cloudy;10;0;;
;2019-02-18 00:00:00;Partly cloudy;9.5;0.6;;
;2019-02-19 00:00:00;Cloudy;9.5;2.5;;
;2019-02-20 00:00:00;Partly cloudy;9.5;0;;
;2019-02-21 00:00:00;Partly cloudy;10.5;0;;
;2019-02-22 00:00:00;Sunny;11;0;;
;2019-02-23 00:00:00;Sunny;11.5;0;;
;2019-02-24 00:00:00;Partly cloudy;9.5;0;;
;2019-02-25 00:00:00;Sunny;10;0;;
;2019-02-26 00:00:00;Sunny;11.5;0;;
;2019-02-27 00:00:00;Sunny;15;0;;
;2019-02-28 00:00:00;Patchy rain possible;11.5;0.5;;
;2019-03-01 00:00:00;Partly cloudy;10.5;0.2;;
;2019-03-02 00:00:00;Cloudy;10.5;1.3;;
;2019-03-03 00:00:00;Patchy rain possible;13;6;;
;2019-03-04 00:00:00;Light rain shower;9;11.9;;
;2019-03-05 00:00:00;Light rain shower;9.5;0.7;;
;2019-03-06 00:00:00;Moderate rain;11;18.7;;
;2019-03-07 00:00:00;Light rain shower;9;4.3;;
;2019-03-08 00:00:00;Light rain shower;8;0.2;;
;2019-03-09 00:00:00;Light rain;12;3.1;;
;2019-03-10 00:00:00;Light rain shower;10;1.5;;
;2019-03-11 00:00:00;Patchy rain possible;8;0.1;;
;2019-03-12 00:00:00;Patchy rain possible;8;2.9;;
;2019-03-13 00:00:00;Light rain shower;7.5;1.6;;
;2019-03-14 00:00:00;Light rain;9;1.9;;
;2019-03-15 00:00:00;Light rain shower;11;0.7;;
;2019-03-16 00:00:00;Overcast;10.5;0;;
;2019-03-17 00:00:00;Patchy rain possible;7.5;2.7;;
;2019-03-18 00:00:00;Light rain shower;7;2.5;;
;2019-03-19 00:00:00;Cloudy;7.5;0;;
;2019-03-20 00:00:00;Partly cloudy;9;0;;
;2019-03-21 00:00:00;Partly cloudy;10.5;0;;
;2019-03-22 00:00:00;Sunny;11;0;;
;2019-03-23 00:00:00;Partly cloudy;12;0;;
;2019-03-24 00:00:00;Patchy rain possible;9;0.4;;
;2019-03-25 00:00:00;Patchy rain possible;7;0.3;;
;2019-03-26 00:00:00;Partly cloudy;7.5;0;;
;2019-03-27 00:00:00;Partly cloudy;8.5;0;;
;2019-03-28 00:00:00;Cloudy;9;0;;
;2019-03-29 00:00:00;Cloudy;11;0;;
;2019-03-30 00:00:00;Partly cloudy;12;0;;
;2019-03-31 00:00:00;Patchy rain possible;14;4.1;;
;2019-04-01 00:00:00;Partly cloudy;13;0;;
;2019-04-02 00:00:00;Light rain shower;10;6.8;;
;2019-04-03 00:00:00;Light rain shower;6.5;5.3;;
;2019-04-04 00:00:00;Light rain shower;5.5;0.7;;
;2019-04-05 00:00:00;Light rain shower;9;2.3;;
;2019-04-06 00:00:00;Light drizzle;8;1.6;;
;2019-04-07 00:00:00;Patchy rain possible;9.5;0.5;;
;2019-04-08 00:00:00;Light rain shower;10;1.1;;
;2019-04-09 00:00:00;Partly cloudy;11;0;;
;2019-04-10 00:00:00;Light rain shower;10.5;6.2;;
;2019-04-11 00:00:00;Partly cloudy;10.5;0;;
;2019-04-12 00:00:00;Partly cloudy;8;0;;
;2019-04-13 00:00:00;Partly cloudy;7;0;;
;2019-04-14 00:00:00;Overcast;6.5;0;;
;2019-04-15 00:00:00;Partly cloudy;9;0.7;;
;2019-04-16 00:00:00;Patchy rain possible;12;9;;
;2019-04-17 00:00:00;Partly cloudy;13;0.1;;
;2019-04-18 00:00:00;Partly cloudy;16;0;;
;2019-04-19 00:00:00;Partly cloudy;18;0;;
;2019-04-20 00:00:00;Light rain shower;17.5;4.1;;
;2019-04-21 00:00:00;Light rain shower;17;6.1;;
;2019-04-22 00:00:00;Light rain shower;15.5;3.9;;
;2019-04-23 00:00:00;Light rain shower;15.5;6.7;;
;2019-04-24 00:00:00;Light rain shower;12;16.4;;
;2019-04-25 00:00:00;Light rain shower;10.5;20.5;;
;2019-04-26 00:00:00;Light rain shower;11;3.7;;
;2019-04-27 00:00:00;Light rain shower;10.5;3.2;;
;2019-04-28 00:00:00;Light rain shower;9.5;1.2;;
;2019-04-29 00:00:00;Patchy rain possible;10.5;0.3;;
;2019-04-30 00:00:00;Partly cloudy;12;0;;
;2019-05-01 00:00:00;Overcast;13;6.4;;
;2019-05-02 00:00:00;Light rain shower;11.5;18.4;;
;2019-05-03 00:00:00;Patchy rain possible;11;0.7;;
;2019-05-04 00:00:00;Light rain shower;6.5;3.3;;
;2019-05-05 00:00:00;Light rain shower;7.5;1.8;;
;2019-05-06 00:00:00;Overcast;8.5;0;;
;2019-05-07 00:00:00;Cloudy;10.5;1.5;;
;2019-05-08 00:00:00;Light rain shower;13.5;10.7;;
;2019-05-09 00:00:00;Light rain shower;12.5;5.4;;
;2019-05-10 00:00:00;Light rain shower;11.5;2;;
;2019-05-11 00:00:00;Light rain shower;13.5;2.5;;
;2019-05-12 00:00:00;Sunny;11;0;;
;2019-05-13 00:00:00;Partly cloudy;11;0;;
;2019-05-14 00:00:00;Sunny;13;0;;
;2019-05-15 00:00:00;Partly cloudy;12.5;0;;
;2019-05-16 00:00:00;Partly cloudy;12.5;0;;
;2019-05-17 00:00:00;Light rain shower;13.5;7;;
;2019-05-18 00:00:00;Moderate rain;11.5;12;;
;2019-05-19 00:00:00;Light rain shower;13.5;11;;
;2019-05-20 00:00:00;Light rain shower;14;5.6;;
;2019-05-21 00:00:00;Moderate rain at times;14.5;2.6;;
;2019-05-22 00:00:00;Partly cloudy;16;0.1;;
;2019-05-23 00:00:00;Patchy rain possible;17.5;3.8;;
;2019-05-24 00:00:00;Patchy rain possible;17.5;3.8;;
;2019-05-25 00:00:00;Patchy rain possible;15;1.1;;
;2019-05-26 00:00:00;Light rain shower;14;0.5;;
;2019-05-27 00:00:00;Light rain shower;16.5;0.7;;
;2019-05-28 00:00:00;Light rain shower;12.5;0.7;;
;2019-05-29 00:00:00;Overcast;12;0.1;;
;2019-05-30 00:00:00;Patchy rain possible;16.5;0.2;;
;2019-05-31 00:00:00;Partly cloudy;18.5;0;;
;2019-06-01 00:00:00;Partly cloudy;21.5;0;;
;2019-06-02 00:00:00;Partly cloudy;22;0;;
;2019-06-03 00:00:00;Light drizzle;17.5;0.7;;
;2019-06-04 00:00:00;Moderate or heavy rain shower;18;9.2;;
;2019-06-05 00:00:00;Patchy light rain;12;5.7;;
;2019-06-06 00:00:00;Light rain shower;13;1.2;;
;2019-06-07 00:00:00;Light rain shower;13.5;9.8;;
;2019-06-08 00:00:00;Patchy rain possible;14.5;1.1;;
;2019-06-09 00:00:00;Light rain shower;15;9.9;;
;2019-06-10 00:00:00;Patchy rain possible;13;6;;
;2019-06-11 00:00:00;Moderate or heavy rain shower;12;10.5;;
;2019-06-12 00:00:00;Moderate or heavy rain shower;12.5;18.6;;
;2019-06-13 00:00:00;Light rain shower;14;6.3;;
;2019-06-14 00:00:00;Overcast;14.5;0.6;;
;2019-06-15 00:00:00;Light rain shower;15;1.1;;
;2019-06-16 00:00:00;Overcast;15.5;0;;
;2019-06-17 00:00:00;Overcast;18;0;;
;2019-06-18 00:00:00;Partly cloudy;22;0.1;;
;2019-06-19 00:00:00;Light rain shower;18.5;2.9;;
;2019-06-20 00:00:00;Partly cloudy;17;0;;
;2019-06-21 00:00:00;Patchy rain possible;16;0.1;;
;2019-06-22 00:00:00;Partly cloudy;17.5;0;;
;2019-06-23 00:00:00;Partly cloudy;21.5;0.1;;
;2019-06-24 00:00:00;Partly cloudy;20.5;0.4;;
;2019-06-25 00:00:00;Cloudy;22.5;0.1;;
;2019-06-26 00:00:00;Partly cloudy;26;0;;
;2019-06-27 00:00:00;Sunny;28.5;0;;
;2019-06-28 00:00:00;Overcast;29;0;;
;2019-06-29 00:00:00;Sunny;28;0;;
;2019-06-30 00:00:00;Partly cloudy;22;1.3;;
;2019-07-01 00:00:00;Patchy rain possible;20;1.9;;
;2019-07-02 00:00:00;Cloudy;19;0;;
;2019-07-03 00:00:00;Partly cloudy;20.5;0;;
;2019-07-04 00:00:00;Partly cloudy;21.5;0;;
;2019-07-05 00:00:00;Partly cloudy;23.5;0;;
;2019-07-06 00:00:00;Moderate rain at times;24;13.3;;
;2019-07-07 00:00:00;Partly cloudy;21.5;10;;
;2019-07-08 00:00:00;Partly cloudy;21;0;;
;2019-07-09 00:00:00;Partly cloudy;19.5;0;;
;2019-07-10 00:00:00;Partly cloudy;20;0;;
;2019-07-11 00:00:00;Partly cloudy;23;0;;
;2019-07-12 00:00:00;Light rain shower;21.5;0.6;;
;2019-07-13 00:00:00;Partly cloudy;20;0;;
;2019-07-14 00:00:00;Partly cloudy;20;0;;
;2019-07-15 00:00:00;Partly cloudy;19;0;;
;2019-07-16 00:00:00;Overcast;20.5;0;;
;2019-07-17 00:00:00;Partly cloudy;22;0;;
;2019-07-18 00:00:00;Light rain shower;18.5;1.2;;
;2019-07-19 00:00:00;Partly cloudy;20.5;0.1;;
;2019-07-20 00:00:00;Light rain shower;20.5;3.2;;
;2019-07-21 00:00:00;Partly cloudy;21;0;;
;2019-07-22 00:00:00;Sunny;23.5;0;;
;2019-07-23 00:00:00;Partly cloudy;30;0.2;;
;2019-07-24 00:00:00;Partly cloudy;28;1.5;;
;2019-07-25 00:00:00;Patchy rain possible;30;0.5;;
;2019-07-26 00:00:00;Light rain shower;21;12.8;;
;2019-07-27 00:00:00;Light rain shower;18.5;4.7;;
;2019-07-28 00:00:00;Partly cloudy;18;0.1;;
;2019-07-29 00:00:00;Partly cloudy;20;0;;
;2019-07-30 00:00:00;Light rain shower;18.5;2.3;;
;2019-07-31 00:00:00;Cloudy;18.5;0.1;;
;2019-08-01 00:00:00;Partly cloudy;20.5;0;;
;2019-08-02 00:00:00;Partly cloudy;21.5;0;;
;2019-08-03 00:00:00;Partly cloudy;22.5;0;;
;2019-08-04 00:00:00;Partly cloudy;23.5;0;;
;2019-08-05 00:00:00;Overcast;21.5;0;;
;2019-08-06 00:00:00;Moderate or heavy rain shower;19;15.7;;
;2019-08-07 00:00:00;Partly cloudy;21.5;1;;
;2019-08-08 00:00:00;Cloudy;22;0;;
;2019-08-09 00:00:00;Light rain shower;19.5;6.8;;
;2019-08-10 00:00:00;Light rain shower;20.5;0.5;;
;2019-08-11 00:00:00;Light rain shower;17;0.7;;
;2019-08-12 00:00:00;Light rain shower;17.5;5;;
;2019-08-13 00:00:00;Overcast;15.5;0.1;;
;2019-08-14 00:00:00;Overcast;17;0;;
;2019-08-15 00:00:00;Overcast;19;0.2;;
;2019-08-16 00:00:00;Partly cloudy;19;0;;
;2019-08-17 00:00:00;Light rain;18.5;6;;
;2019-08-18 00:00:00;Light rain shower;19.5;1.1;;
;2019-08-19 00:00:00;Patchy rain possible;16.5;0.1;;
;2019-08-20 00:00:00;Partly cloudy;18;0;;
;2019-08-21 00:00:00;Overcast;19;0;;
;2019-08-22 00:00:00;Partly cloudy;20.5;0;;
;2019-08-23 00:00:00;Partly cloudy;21.5;0;;
;2019-08-24 00:00:00;Partly cloudy;24;0;;
;2019-08-25 00:00:00;Partly cloudy;26;0;;
;2019-08-26 00:00:00;Partly cloudy;27;0;;
;2019-08-27 00:00:00;Partly cloudy;26.5;0.3;;
;2019-08-28 00:00:00;Overcast;21.5;0.3;;
;2019-08-29 00:00:00;Cloudy;19.5;0;;
;2019-08-30 00:00:00;Partly cloudy;22;0;;
;2019-08-31 00:00:00;Partly cloudy;23;0;;
;2019-09-01 00:00:00;Partly cloudy;18.5;1.7;;
;2019-09-02 00:00:00;Partly cloudy;16.5;0;;
;2019-09-03 00:00:00;Partly cloudy;18;0;;
;2019-09-04 00:00:00;Cloudy;17;0;;
;2019-09-05 00:00:00;Partly cloudy;15;0.1;;
;2019-09-06 00:00:00;Partly cloudy;14.5;0.1;;
;2019-09-07 00:00:00;Cloudy;17;0;;
;2019-09-08 00:00:00;Overcast;13.5;0;;
;2019-09-09 00:00:00;Light drizzle;13.5;4.1;;
;2019-09-10 00:00:00;Partly cloudy;17;1.1;;
;2019-09-11 00:00:00;Partly cloudy;17;0;;
;2019-09-12 00:00:00;Cloudy;19.5;0;;
;2019-09-13 00:00:00;Partly cloudy;21.5;0;;
;2019-09-14 00:00:00;Partly cloudy;22.5;0;;
;2019-09-15 00:00:00;Partly cloudy;23.5;0;;
;2019-09-16 00:00:00;Partly cloudy;9;0;;
;2019-09-17 00:00:00;Cloudy;18;0;;
;2019-09-18 00:00:00;Partly cloudy;17;0;;
;2019-09-19 00:00:00;Sunny;16.5;0;;
;2019-09-20 00:00:00;Sunny;17.5;0;;
;2019-09-21 00:00:00;Partly cloudy;22.5;4.6;;
;2019-09-22 00:00:00;Moderate rain;17.5;15;;
;2019-09-23 00:00:00;Light rain shower;16.5;0.8;;
;2019-09-24 00:00:00;Moderate or heavy rain shower;17.5;23;;
;2019-09-25 00:00:00;Light drizzle;16;2.2;;
;2019-09-26 00:00:00;Light rain shower;18.5;0.8;;
;2019-09-27 00:00:00;Light rain shower;16.5;8.6;;
;2019-09-28 00:00:00;Light rain shower;15.5;0.5;;
;2019-09-29 00:00:00;Light rain;16.5;1;;
;2019-09-30 00:00:00;Cloudy;16;1.5;;
;2019-10-01 00:00:00;Moderate rain at times;17;11.8;;
;2019-10-02 00:00:00;Light rain shower;15;0.7;;
;2019-10-03 00:00:00;Partly cloudy;13.5;0;;
;2019-10-04 00:00:00;Cloudy;15.5;1.5;;
;2019-10-05 00:00:00;Patchy rain possible;15.5;0.3;;
;2019-10-06 00:00:00;Patchy light rain;14.5;3;;
;2019-10-07 00:00:00;Light drizzle;11;0.4;;
;2019-10-08 00:00:00;Moderate rain;14;9.1;;
;2019-10-09 00:00:00;Light rain shower;13.5;5.8;;
;2019-10-10 00:00:00;Light rain shower;14;1.3;;
;2019-10-11 00:00:00;Sunny;16.5;0;;
;2019-10-12 00:00:00;Cloudy;17.5;0.2;;
;2019-10-13 00:00:00;Patchy rain possible;19.5;3.2;;
;2019-10-14 00:00:00;Moderate or heavy rain in area with thunder;17.5;4.1;;
;2019-10-15 00:00:00;Patchy rain possible;14;1;;
;2019-10-16 00:00:00;Light drizzle;12;2.7;;
;2019-10-17 00:00:00;Light rain;14.5;4.9;;
;2019-10-18 00:00:00;Patchy rain possible;15;3.2;;
;2019-10-19 00:00:00;Light rain shower;14.5;9.5;;
;2019-10-20 00:00:00;Moderate rain;11.5;26.5;;
;2019-10-21 00:00:00;Partly cloudy;12;3.5;;
;2019-10-22 00:00:00;Overcast;11.5;8.2;;
;2019-10-23 00:00:00;Light drizzle;14.5;1.9;;
;2019-10-24 00:00:00;Light rain shower;13.5;1.3;;
;2019-10-25 00:00:00;Patchy rain possible;14.5;0.1;;
;2019-10-26 00:00:00;Overcast;15.5;0;;
;2019-10-27 00:00:00;Light rain;11.5;10.8;;
;2019-10-28 00:00:00;Light drizzle;9;3.2;;
;2019-10-29 00:00:00;Overcast;10;0;;
;2019-10-30 00:00:00;Partly cloudy;12.5;3.9;;
;2019-10-31 00:00:00;Patchy rain possible;14.5;15;;
;2019-11-01 00:00:00;Moderate rain;15.5;22.5;;
;2019-11-02 00:00:00;Light rain;12.5;10.3;;
;2019-11-03 00:00:00;Light rain shower;11.5;29.6;;
;2019-11-04 00:00:00;Light rain shower;11.5;7.7;;
;2019-11-05 00:00:00;Light rain shower;10;13.1;;
;2019-11-06 00:00:00;Light rain shower;10;1.2;;
;2019-11-07 00:00:00;Light rain shower;8.5;31.2;;
;2019-11-08 00:00:00;Light rain shower;7;4.5;;
;2019-11-09 00:00:00;Overcast;7;8.5;;
;2019-11-10 00:00:00;Light rain shower;7.5;0.6;;
;2019-11-11 00:00:00;Moderate rain;7.5;6.9;;
;2019-11-12 00:00:00;Patchy rain possible;7;0.6;;
;2019-11-13 00:00:00;Patchy rain possible;6.5;4.6;;
;2019-11-14 00:00:00;Patchy rain possible;7;7.6;;
;2019-11-15 00:00:00;Light drizzle;3;1.8;;
;2019-11-16 00:00:00;Light rain;5.5;7.1;;
;2019-11-17 00:00:00;Cloudy;4.5;0;;
;2019-11-18 00:00:00;Partly cloudy;5.5;0;;
;2019-11-19 00:00:00;Partly cloudy;6;0;;
;2019-11-20 00:00:00;Partly cloudy;4.5;0;;
;2019-11-21 00:00:00;Moderate rain;6;7.9;;
;2019-11-22 00:00:00;Overcast;8.5;2.8;;
;2019-11-23 00:00:00;Light rain shower;11;5.5;;
;2019-11-24 00:00:00;Overcast;9;0.8;;
;2019-11-25 00:00:00;Light rain shower;11;2.9;;
;2019-11-26 00:00:00;Light rain;8.5;5.7;;
;2019-11-27 00:00:00;Sunny;10.5;0;;
;2019-11-28 00:00:00;Light rain shower;11;1.2;;
;2019-11-29 00:00:00;Partly cloudy;9.5;0;;
;2019-11-30 00:00:00;Light rain;7.5;11.9;;
;2019-12-01 00:00:00;Patchy rain possible;6.5;4.7;;
;2019-12-02 00:00:00;Partly cloudy;4;0;;
;2019-12-03 00:00:00;Partly cloudy;4;0;;
;2019-12-04 00:00:00;Overcast;3;0;;
;2019-12-05 00:00:00;Partly cloudy;4;0;;
;2019-12-06 00:00:00;Light drizzle;5;1.4;;
;2019-12-07 00:00:00;Light rain shower;10.5;1.6;;
;2019-12-08 00:00:00;Moderate rain;10.5;8.4;;
;2019-12-09 00:00:00;Patchy rain possible;7.5;0.3;;
;2019-12-10 00:00:00;Patchy rain possible;6;0.2;;
;2019-12-11 00:00:00;Light rain;7;7.5;;
;2019-12-12 00:00:00;Moderate rain;7;10.8;;
;2019-12-13 00:00:00;Light rain shower;7;6.4;;
;2019-12-14 00:00:00;Patchy rain possible;10;4;;
;2019-12-15 00:00:00;Patchy rain possible;8.5;7.5;;
;2019-12-16 00:00:00;Light rain;10.5;7.2;;
;2019-12-17 00:00:00;Patchy rain possible;10.5;2.3;;
;2019-12-18 00:00:00;Partly cloudy;9.5;0;;
;2019-12-19 00:00:00;Light rain;11;6.4;;
;2019-12-20 00:00:00;Light rain shower;10.5;22;;
;2019-12-21 00:00:00;Light drizzle;9.5;14.8;;
;2019-12-22 00:00:00;Light rain shower;7.5;6.6;;
;2019-12-23 00:00:00;Patchy rain possible;8;4.4;;
;2019-12-24 00:00:00;Patchy rain possible;11;10.4;;
;2019-12-25 00:00:00;Cloudy;9;0.1;;
